iter	Passed	Remaining
179	808	3683
180	834	3775
181	853	3833
182	858	3830
183	863	3828
184	868	3825
185	873	3822
186	878	3820
187	883	3816
188	888	3813
189	893	3809
190	898	3805
191	903	3802
192	908	3798
193	913	3794
194	918	3790
195	923	3786
196	928	3783
197	933	3779
198	938	3775
199	943	3772
200	947	3767
201	952	3764
202	957	3760
203	962	3756
204	967	3752
205	972	3748
206	977	3744
207	980	3735
208	985	3731
209	990	3727
210	995	3723
211	1000	3719
212	1005	3715
213	1010	3711
214	1015	3707
215	1020	3704
216	1025	3700
217	1030	3696
218	1035	3692
219	1040	3688
220	1045	3684
221	1050	3681
222	1055	3677
223	1060	3672
224	1065	3668
225	1069	3664
226	1074	3660
227	1079	3656
228	1084	3652
229	1089	3647
230	1094	3643
231	1099	3639
232	1104	3635
233	1109	3631
234	1114	3627
235	1119	3623
236	1124	3619
237	1129	3615
238	1134	3611
239	1139	3607
240	1144	3603
241	1149	3599
242	1154	3595
243	1159	3591
244	1163	3586
245	1168	3582
246	1173	3577
247	1178	3573
248	1183	3569
249	1188	3564
250	1193	3560
251	1198	3556
252	1203	3553
253	1208	3549
254	1213	3545
255	1218	3541
256	1223	3538
257	1229	3534
258	1233	3530
259	1239	3526
260	1244	3523
261	1249	3519
262	1254	3515
263	1259	3512
264	1264	3508
265	1270	3504
266	1275	3500
267	1280	3496
268	1285	3492
269	1290	3488
270	1295	3485
271	1300	3480
272	1305	3476
273	1310	3473
274	1316	3469
275	1321	3465
276	1326	3461
277	1331	3457
278	1336	3453
279	1341	3449
280	1346	3444
281	1351	3440
282	1356	3436
283	1361	3432
284	1366	3427
285	1371	3422
286	1376	3418
287	1381	3414
288	1386	3410
289	1391	3405
290	1396	3401
291	1404	3405
292	1409	3401
293	1414	3396
294	1419	3392
295	1424	3388
296	1429	3383
297	1434	3378
298	1439	3374
299	1444	3370
300	1449	3365
301	1454	3361
302	1459	3357
303	1464	3352
304	1469	3347
305	1474	3343
306	1479	3338
307	1483	3333
308	1488	3329
309	1493	3325
310	1498	3320
311	1503	3315
312	1508	3310
313	1513	3306
314	1518	3301
315	1523	3297
316	1528	3292
317	1532	3287
318	1537	3282
319	1542	3278
320	1547	3273
321	1552	3268
322	1557	3264
323	1562	3259
324	1566	3254
325	1570	3247
326	1574	3240
327	1578	3234
328	1582	3227
329	1586	3221
330	1590	3215
331	1595	3209
332	1598	3202
333	1602	3196
334	1607	3190
335	1611	3183
336	1615	3177
337	1619	3171
338	1623	3164
339	1626	3158
340	1631	3152
341	1635	3146
342	1639	3140
343	1643	3134
344	1647	3127
345	1651	3121
346	1655	3115
347	1659	3108
348	1663	3102
349	1667	3095
350	1671	3090
351	1675	3084
352	1684	3088
353	1693	3091
354	1703	3094
355	1712	3097
356	1720	3099
357	1727	3097
358	1732	3093
359	1737	3088
360	1741	3082
361	1745	3076
362	1749	3070
363	1753	3064
364	1757	3058
365	1761	3051
366	1765	3045
367	1769	3039
368	1774	3034
369	1778	3027
370	1782	3021
371	1786	3015
372	1790	3009
373	1794	3003
374	1798	2997
375	1802	2991
376	1806	2984
377	1810	2978
378	1814	2972
379	1818	2966
380	1822	2960
381	1826	2954
382	1829	2947
383	1833	2941
384	1837	2935
385	1841	2929
386	1845	2923
387	1849	2917
388	1854	2912
389	1858	2906
390	1861	2900
391	1865	2894
392	1869	2887
393	1873	2881
394	1877	2875
395	1881	2869
396	1885	2863
397	1889	2857
398	1893	2851
399	1897	2845
400	1900	2839
401	1904	2833
402	1908	2827
403	1913	2822
404	1916	2816
405	1920	2810
406	1925	2804
407	1928	2798
408	1932	2792
409	1936	2787
410	1940	2781
411	1944	2775
412	1948	2769
413	1952	2763
414	1956	2757
415	1960	2751
416	1964	2746
417	1969	2741
418	1974	2737
419	1978	2732
420	1983	2727
421	1987	2721
422	1991	2716
423	1995	2711
424	1999	2705
425	2003	2699
426	2007	2693
427	2012	2689
428	2017	2685
429	2022	2681
430	2030	2680
431	2035	2676
432	2039	2670
433	2042	2664
434	2046	2658
435	2052	2655
436	2057	2650
437	2060	2644
438	2064	2638
439	2068	2633
440	2072	2627
441	2076	2621
442	2080	2616
443	2084	2610
444	2088	2604
445	2092	2599
446	2096	2593
447	2100	2587
448	2103	2581
449	2107	2576
450	2111	2570
451	2115	2565
452	2119	2559
453	2123	2553
454	2127	2548
455	2131	2542
456	2135	2536
457	2139	2531
458	2142	2525
459	2146	2520
460	2150	2514
461	2154	2508
462	2158	2503
463	2162	2497
464	2166	2492
465	2170	2486
466	2174	2481
467	2178	2476
468	2182	2470
469	2186	2465
470	2190	2459
471	2194	2454
472	2198	2448
473	2201	2443
474	2205	2437
475	2209	2432
476	2213	2427
477	2217	2421
478	2221	2416
479	2225	2410
480	2229	2405
481	2233	2400
482	2237	2394
483	2241	2389
484	2245	2383
485	2248	2378
486	2252	2373
487	2256	2367
488	2260	2362
489	2264	2356
490	2268	2351
491	2272	2346
492	2276	2340
493	2280	2335
494	2284	2330
495	2289	2326
496	2294	2322
497	2298	2317
498	2302	2312
499	2306	2306
500	2310	2301
501	2314	2296
502	2318	2291
503	2322	2285
504	2326	2280
505	2330	2275
506	2334	2269
507	2338	2264
508	2342	2259
509	2346	2254
510	2350	2249
511	2354	2243
512	2358	2238
513	2362	2233
514	2366	2228
515	2370	2223
516	2374	2218
517	2378	2212
518	2382	2207
519	2386	2202
520	2390	2197
521	2394	2192
522	2398	2187
523	2402	2182
524	2406	2176
525	2410	2171
526	2414	2166
527	2418	2161
528	2422	2156
529	2426	2151
530	2430	2146
531	2434	2141
532	2438	2136
533	2442	2131
534	2446	2126
535	2450	2121
536	2454	2116
537	2458	2111
538	2462	2106
539	2466	2101
540	2470	2096
541	2474	2090
542	2478	2085
543	2482	2080
544	2486	2075
545	2490	2070
546	2494	2065
547	2498	2060
548	2502	2055
549	2506	2050
550	2510	2045
551	2514	2040
552	2518	2035
553	2522	2030
554	2526	2025
555	2530	2020
556	2534	2015
557	2538	2010
558	2542	2005
559	2546	2000
560	2550	1995
561	2554	1990
562	2558	1985
563	2562	1980
564	2566	1975
565	2570	1970
566	2574	1965
567	2578	1960
568	2581	1955
569	2585	1950
570	2589	1945
571	2593	1940
572	2597	1935
573	2601	1930
574	2605	1925
575	2609	1920
576	2613	1915
577	2617	1911
578	2621	1906
579	2625	1901
580	2629	1896
581	2633	1891
582	2637	1886
583	2641	1881
584	2645	1876
585	2649	1871
586	2653	1866
587	2657	1861
588	2661	1856
589	2665	1851
590	2668	1847
591	2672	1842
592	2676	1837
593	2680	1832
594	2684	1827
595	2688	1822
596	2692	1817
597	2696	1812
598	2700	1808
599	2704	1803
600	2708	1798
601	2712	1793
602	2716	1788
603	2720	1783
604	2724	1778
605	2728	1773
606	2732	1768
607	2736	1764
608	2740	1759
609	2744	1754
610	2748	1749
611	2752	1744
612	2756	1740
613	2760	1735
614	2764	1730
615	2768	1725
616	2772	1720
617	2776	1716
618	2780	1711
619	2784	1706
620	2788	1701
621	2792	1697
622	2796	1692
623	2800	1687
624	2804	1682
625	2808	1677
626	2812	1672
627	2816	1668
628	2820	1663
629	2824	1658
630	2828	1653
631	2832	1649
632	2836	1644
633	2840	1639
634	2844	1634
635	2848	1630
636	2852	1625
637	2856	1620
638	2860	1616
639	2864	1611
640	2868	1606
641	2872	1601
642	2876	1597
643	2880	1592
644	2884	1587
645	2888	1583
646	2892	1578
647	2896	1573
648	2900	1568
649	2904	1563
650	2908	1559
651	2912	1554
652	2916	1549
653	2920	1545
654	2924	1540
655	2928	1535
656	2932	1530
657	2936	1526
658	2941	1521
659	2945	1517
660	2949	1512
661	2953	1507
662	2957	1503
663	2961	1498
664	2965	1493
665	2968	1488
666	2972	1484
667	2976	1479
668	2981	1474
669	2985	1470
670	2989	1465
671	2993	1460
672	2997	1456
673	3001	1451
674	3006	1447
675	3010	1442
676	3014	1438
677	3018	1433
678	3021	1428
679	3025	1423
680	3030	1419
681	3034	1414
682	3038	1410
683	3042	1405
684	3046	1400
685	3050	1396
686	3054	1391
687	3058	1386
688	3062	1382
689	3066	1377
690	3070	1372
691	3074	1368
692	3078	1363
693	3082	1359
694	3086	1354
695	3090	1349
696	3094	1345
697	3098	1340
698	3102	1335
699	3106	1331
700	3110	1326
701	3114	1321
702	3118	1317
703	3122	1312
704	3126	1308
705	3130	1303
706	3134	1298
707	3138	1294
708	3142	1289
709	3146	1285
710	3150	1280
711	3154	1275
712	3158	1271
713	3162	1266
714	3166	1262
715	3170	1257
716	3174	1252
717	3178	1248
718	3182	1243
719	3185	1238
720	3190	1234
721	3194	1229
722	3198	1225
723	3202	1220
724	3206	1216
725	3209	1211
726	3214	1206
727	3218	1202
728	3222	1197
729	3225	1193
730	3229	1188
731	3233	1184
732	3237	1179
733	3241	1174
734	3245	1170
735	3249	1165
736	3253	1161
737	3257	1156
738	3261	1151
739	3265	1147
740	3271	1143
741	3276	1139
742	3281	1134
743	3285	1130
744	3290	1126
745	3295	1122
746	3300	1117
747	3303	1113
748	3309	1109
749	3315	1105
750	3319	1100
751	3323	1096
752	3327	1091
753	3331	1087
754	3336	1082
755	3340	1078
756	3344	1073
757	3348	1069
758	3352	1064
759	3356	1059
760	3360	1055
761	3364	1050
762	3369	1046
763	3374	1042
764	3378	1037
765	3382	1033
766	3386	1028
767	3390	1024
768	3394	1019
769	3399	1015
770	3402	1010
771	3406	1006
772	3410	1001
773	3414	997
774	3418	992
775	3423	988
776	3427	983
777	3431	979
778	3435	974
779	3439	970
780	3443	965
781	3447	961
782	3451	956
783	3455	951
784	3459	947
785	3463	942
786	3467	938
787	3471	933
788	3475	929
789	3479	924
790	3483	920
791	3487	915
792	3491	911
793	3496	907
794	3501	902
795	3505	898
796	3509	893
797	3513	889
798	3518	885
799	3522	880
800	3526	876
801	3532	872
802	3536	867
803	3540	863
804	3544	858
805	3549	854
806	3553	849
807	3558	845
808	3563	841
809	3567	836
810	3572	832
811	3575	827
812	3580	823
813	3584	819
814	3589	814
815	3593	810
816	3597	805
817	3601	801
818	3605	796
819	3609	792
820	3614	787
821	3618	783
822	3622	779
823	3626	774
824	3630	770
825	3635	765
826	3639	761
827	3643	756
828	3647	752
829	3651	747
830	3655	743
831	3660	739
832	3665	734
833	3669	730
834	3673	725
835	3678	721
836	3683	717
837	3687	712
838	3691	708
839	3695	703
840	3699	699
841	3704	695
842	3708	690
843	3713	686
844	3717	681
845	3721	677
846	3725	673
847	3730	668
848	3734	664
849	3738	659
850	3743	655
851	3747	651
852	3752	646
853	3756	642
854	3761	637
855	3765	633
856	3769	629
857	3774	624
858	3778	620
859	3782	615
860	3786	611
861	3792	607
862	3796	602
863	3800	598
864	3804	593
865	3809	589
866	3813	584
867	3817	580
868	3821	576
869	3826	571
870	3830	567
871	3834	562
872	3840	558
873	3844	554
874	3848	549
875	3852	545
876	3857	541
877	3861	536
878	3865	532
879	3869	527
880	3874	523
881	3878	518
882	3882	514
883	3886	510
884	3890	505
885	3894	501
886	3898	496
887	3901	492
888	3906	487
889	3910	483
890	3915	478
891	3919	474
892	3925	470
893	3929	465
894	3933	461
895	3937	457
896	3941	452
897	3946	448
898	3950	443
899	3955	439
900	3959	435
901	3963	430
902	3967	426
903	3972	421
904	3976	417
905	3982	413
906	3988	408
907	3993	404
908	3997	400
909	4002	395
910	4007	391
911	4011	387
912	4015	382
913	4019	378
914	4022	373
915	4026	369
916	4029	364
917	4033	360
918	4037	355
919	4040	351
920	4045	346
921	4049	342
922	4053	338
923	4057	333
924	4061	329
925	4065	324
926	4070	320
927	4074	316
928	4078	311
929	4082	307
930	4086	302
931	4090	298
932	4094	294
933	4098	289
934	4102	285
935	4106	280
936	4110	276
937	4115	272
938	4119	267
939	4124	263
940	4129	258
941	4133	254
942	4137	250
943	4141	245
944	4146	241
945	4150	236
946	4154	232
947	4158	228
948	4162	223
949	4166	219
950	4170	214
951	4174	210
952	4179	206
953	4183	201
954	4187	197
955	4191	192
956	4196	188
957	4200	184
958	4204	179
959	4208	175
960	4213	170
961	4217	166
962	4221	162
963	4236	158
964	4242	153
965	4246	149
966	4250	145
967	4254	140
968	4258	136
969	4263	131
970	4267	127
971	4271	123
972	4275	118
973	4279	114
974	4283	109
975	4287	105
976	4292	101
977	4297	96
978	4302	92
979	4307	87
980	4312	83
981	4317	79
982	4325	74
983	4329	70
984	4333	65
985	4338	61
986	4342	57
987	4346	52
988	4350	48
989	4354	43
990	4358	39
991	4362	35
992	4366	30
993	4370	26
994	4374	21
995	4378	17
996	4383	13
997	4386	8
998	4391	4
999	4395	0
