iter	Logloss
0	0.6809132385
1	0.6693554687
2	0.6592442894
3	0.6496852684
4	0.6413601303
5	0.6334806824
6	0.625894804
7	0.6185059071
8	0.6114597702
9	0.6048085213
10	0.5991127968
11	0.593676033
12	0.5883437538
13	0.582877388
14	0.5772821045
15	0.5729160786
16	0.5682591724
17	0.563947401
18	0.5604809189
19	0.5568762493
20	0.5530672073
21	0.5501212978
22	0.5470006752
23	0.5441165543
24	0.5411303902
25	0.5382324028
26	0.5361081791
27	0.5336953259
28	0.5312922573
29	0.5292791271
30	0.5272698402
31	0.5254886436
32	0.523783989
33	0.5223543549
34	0.5204866505
35	0.5185825729
36	0.5172641277
37	0.5159930706
38	0.5146302891
39	0.513178587
40	0.5120382977
41	0.5110675335
42	0.5100838947
43	0.5091221809
44	0.5081618786
45	0.5071920586
46	0.5059563637
47	0.5050642967
48	0.5043531704
49	0.5030221081
50	0.5019785023
51	0.5010643387
52	0.5002243423
53	0.4996796036
54	0.4987414169
55	0.4978583527
56	0.4969418526
57	0.4961070156
58	0.4954222012
59	0.4947323799
60	0.4939970684
61	0.4933115292
62	0.4926418686
63	0.491954298
64	0.4913636684
65	0.4908602524
66	0.4901869106
67	0.4896304989
68	0.4891098404
69	0.4886320019
70	0.4882317448
71	0.4876474571
72	0.4871244621
73	0.4865796375
74	0.4860914516
75	0.4855383587
76	0.4850233364
77	0.4846226692
78	0.484159956
79	0.4836096287
80	0.4832535076
81	0.4825112724
82	0.4820405293
83	0.481277132
84	0.4809826183
85	0.4802220535
86	0.4795627213
87	0.4791421032
88	0.4786944008
89	0.4783399773
90	0.4780680275
91	0.4774248123
92	0.4770075321
93	0.4766431332
94	0.4762926388
95	0.4758788681
96	0.4753302574
97	0.4749373531
98	0.4745669842
99	0.4742830372
100	0.4739184189
101	0.4733904934
102	0.4729199123
103	0.472704277
104	0.4716469288
105	0.4704555035
106	0.46991745
107	0.4694630241
108	0.4689492416
109	0.4685283661
110	0.4682977104
111	0.4680077553
112	0.467604084
113	0.4671263313
114	0.4661388206
115	0.4659132957
116	0.4655205917
117	0.4651886749
118	0.4648325157
119	0.4644550323
120	0.4640589905
121	0.4638187408
122	0.4632943726
123	0.4629567337
124	0.4622432327
125	0.4620565891
126	0.4615025616
127	0.4611309242
128	0.4609695435
129	0.4602735424
130	0.4597676849
131	0.4594135475
132	0.4588098717
133	0.4584254456
134	0.4582237148
135	0.4575995255
136	0.4569568062
137	0.4566023636
138	0.456050396
139	0.4557758141
140	0.4553441811
141	0.4548077106
142	0.4545815468
143	0.4543009472
144	0.4538100624
145	0.4533558559
146	0.4529529285
147	0.4527042675
148	0.4522311592
149	0.4519328976
150	0.4513509274
151	0.4509739494
152	0.4508223915
153	0.4505751991
154	0.450333395
155	0.4499722481
156	0.449456358
157	0.448995018
158	0.448820734
159	0.4476860332
160	0.4472801304
161	0.44691432
162	0.4467345047
163	0.4461075878
164	0.4455613708
165	0.4453844929
166	0.4450907612
167	0.4447933292
168	0.4441991329
169	0.4438483047
170	0.4434274006
171	0.4421664238
172	0.4415459538
173	0.4412399101
174	0.4408551502
175	0.4405847931
176	0.4394979858
177	0.4391937351
178	0.4388226986
179	0.4385065937
180	0.4382188988
181	0.437836504
182	0.4375756836
183	0.4372997952
184	0.4368703079
185	0.4367108154
186	0.4364073467
187	0.4360304832
188	0.4357369137
189	0.4354371834
190	0.4349852657
191	0.4346516991
192	0.4344364262
193	0.4340234852
194	0.4335749149
195	0.4332594967
196	0.4330051517
197	0.432453537
198	0.4321425343
199	0.4317547131
200	0.4310036755
201	0.4308686638
202	0.4305263996
203	0.4303953171
204	0.429715662
205	0.4289051628
206	0.4287682629
207	0.4286387825
208	0.4282090569
209	0.4278250408
210	0.427699585
211	0.4274781036
212	0.427176199
213	0.4269809914
214	0.4266459942
215	0.4260658264
216	0.4257878685
217	0.4256514168
218	0.4252993107
219	0.4251541901
220	0.4240831375
221	0.4236584282
222	0.4233283997
223	0.4231839752
224	0.4229580212
225	0.4227515125
226	0.422542944
227	0.4217705441
228	0.4214844131
229	0.4209158134
230	0.4207487774
231	0.4200760841
232	0.4193575287
233	0.419112072
234	0.4186005497
235	0.4182130814
236	0.4177285099
237	0.4173570919
238	0.4170974255
239	0.4168424797
240	0.416555624
241	0.4157571602
242	0.4156137562
243	0.4152083683
244	0.4147345734
245	0.4138803387
246	0.4134585381
247	0.4130699825
248	0.4127647781
249	0.4126329899
250	0.4121860123
251	0.4119376373
252	0.4116208744
253	0.4115225506
254	0.4114019108
255	0.4112437439
256	0.4111065769
257	0.4108162403
258	0.4105420113
259	0.4101188946
260	0.4099289513
261	0.4097070313
262	0.4092672634
263	0.4090878868
264	0.4088291836
265	0.408614645
266	0.4083711147
267	0.407837038
